Question,Answer
How was the Veer Surendra Sai University of Technology formed?,"The Veer Surendra Sai University of Technology (VSSUT) Odisha was formed by Orissa Act 9 of 2009 by converting University College of Engineering (UCE), Burla to a non-affiliating Unitary University and came into force by issue of notification by the Industries Department, Government of Odisha from 1st day of July 2009(Vide memo No.IV/TTI-33/2009-8553 and 8564 dtd.10th June 2009."
What is the name of the Veer Surendra Sai University of Technology?,"The Veer Surendra Sai University of Technology (VSSUT) Odisha was formed by Orissa Act 9 of 2009 by converting University College of Engineering (UCE), Burla to a non-affiliating Unitary University and came into force by issue of notification by the Industries Department, Government of Odisha from 1st day of July 2009(Vide memo No.IV/TTI-33/2009-8553 and 8564 dtd.10th June 2009."
What did the Orissa Act 9 of 2009 do for the Veer Surendra Sai University of Technology?,"The Veer Surendra Sai University of Technology (VSSUT) Odisha was formed by Orissa Act 9 of 2009 by converting University College of Engineering (UCE), Burla to a non-affiliating Unitary University and came into force by issue of notification by the Industries Department, Government of Odisha from 1st day of July 2009(Vide memo No.IV/TTI-33/2009-8553 and 8564 dtd.10th June 2009."
"The 1st Statutes of VSSUT, Burla 2010 has been approved by the Odisha Government vide Industry Department notification No.V-FE-II-01/2010/8697","The 1st Statutes of VSSUT, Burla 2010 has been approved by the Odisha Government vide Industry Department notification No.V-FE-II-01/2010/8697 dated 21st June, 2010."
"The 1st Statutes of VSSUT, Burla 2010 has been approved by the Odisha Government vide Industry Department notification No.V-FE-II-01/2010/8697 dated 21st June","The 1st Statutes of VSSUT, Burla 2010 has been approved by the Odisha Government vide Industry Department notification No.V-FE-II-01/2010/8697 dated 21st June, 2010."
"The 1st Statutes of VSSUT, Burla 2010 have been approved by the Odisha Government vide Industry Department notification No.V-FE-II-01/2010/8697 dated 21st June","The 1st Statutes of VSSUT, Burla 2010 has been approved by the Odisha Government vide Industry Department notification No.V-FE-II-01/2010/8697 dated 21st June, 2010."
How is the State Government University recognized by the UGC?,"This State Government University is also recognized by University Grants Commission (UGC), New Delhi vide UGC letter No.."
Is the State Government University recognized by the UGC?,"This State Government University is also recognized by University Grants Commission (UGC), New Delhi vide UGC letter No.."
Is the State Government University recognized by UGC?,"This State Government University is also recognized by University Grants Commission (UGC), New Delhi vide UGC letter No.."
What was the date of the CPP-I dtd.5th Jan 2010?,F.9-36/2009(CPP-I) dtd.5th Jan 2010.
When was the CPP-I dtd.5th Jan 2010?,F.9-36/2009(CPP-I) dtd.5th Jan 2010.
What was the date of the dtd.5th Jan 2010?,F.9-36/2009(CPP-I) dtd.5th Jan 2010.
Is the UGC empowered to award degrees as specified by the UGC Act?,The University is empowered to award degrees as specified by the UGC under section 22 of the UGC Act.
Is the UGC empowered to award degrees as specified by the UGC?,The University is empowered to award degrees as specified by the UGC under section 22 of the UGC Act.
